Period,Unemployed
1/1982 - 3/1982,81.4
2/1982 - 4/1982,80.5
3/1982 - 5/1982,76.6
4/1982 - 6/1982,78.8
5/1982 - 7/1982,85.8
6/1982 - 8/1982,95.6
7/1982 - 9/1982,100.5
8/1982 - 10/1982,106.7
9/1982 - 11/1982,106.4
10/1982 - 12/1982,103.3
11/1982 - 1/1983,109.5
12/1982 - 2/1983,113.4
1/1983 - 3/1983,127.2
2/1983 - 4/1983,128.4
3/1983 - 5/1983,123.1
4/1983 - 6/1983,111.6
5/1983 - 7/1983,101.6
6/1983 - 8/1983,101.4
7/1983 - 9/1983,106.3
8/1983 - 10/1983,114.9
9/1983 - 11/1983,115.7
10/1983 - 12/1983,110.1
11/1983 - 1/1984,96.6
12/1983 - 2/1984,100.9
1/1984 - 3/1984,101.2
2/1984 - 4/1984,101
3/1984 - 5/1984,94.1
4/1984 - 6/1984,94.3
5/1984 - 7/1984,98
6/1984 - 8/1984,102.1
7/1984 - 9/1984,102.2
8/1984 - 10/1984,108.6
9/1984 - 11/1984,108.6
10/1984 - 12/1984,106.4
11/1984 - 1/1985,93.8
12/1984 - 2/1985,82
1/1985 - 3/1985,77.6
2/1985 - 4/1985,77.3
3/1985 - 5/1985,77
4/1985 - 6/1985,74.5
5/1985 - 7/1985,82.1
6/1985 - 8/1985,91.9
7/1985 - 9/1985,95.1
8/1985 - 10/1985,92.9
9/1985 - 11/1985,94.1
10/1985 - 12/1985,87.3
11/1985 - 1/1986,81.4
12/1985 - 2/1986,78.5
1/1986 - 3/1986,83.2
2/1986 - 4/1986,84
3/1986 - 5/1986,78.2
4/1986 - 6/1986,80.9
5/1986 - 7/1986,82.6
6/1986 - 8/1986,87.3
7/1986 - 9/1986,81.2
8/1986 - 10/1986,76.1
9/1986 - 11/1986,67.8
10/1986 - 12/1986,58.9
11/1986 - 1/1987,51.4
12/1986 - 2/1987,49.4
1/1987 - 3/1987,50.6
2/1987 - 4/1987,48.3
3/1987 - 5/1987,43.4
4/1987 - 6/1987,41.2
5/1987 - 7/1987,45
6/1987 - 8/1987,48.2
7/1987 - 9/1987,49.9
8/1987 - 10/1987,51.2
9/1987 - 11/1987,51.5
10/1987 - 12/1987,47.7
11/1987 - 1/1988,43.2
12/1987 - 2/1988,37.6
1/1988 - 3/1988,36.9
2/1988 - 4/1988,38
3/1988 - 5/1988,39.1
4/1988 - 6/1988,42.8
5/1988 - 7/1988,42.4
6/1988 - 8/1988,46.6
7/1988 - 9/1988,40.7
8/1988 - 10/1988,37.6
9/1988 - 11/1988,32.8
10/1988 - 12/1988,30.6
11/1988 - 1/1989,27.9
12/1988 - 2/1989,24.9
1/1989 - 3/1989,27
2/1989 - 4/1989,31.8
3/1989 - 5/1989,31.5
4/1989 - 6/1989,30.8
5/1989 - 7/1989,28.1
6/1989 - 8/1989,31.6
7/1989 - 9/1989,32.5
8/1989 - 10/1989,31.3
9/1989 - 11/1989,30.4
10/1989 - 12/1989,28.4
11/1989 - 1/1990,29
12/1989 - 2/1990,32.8
1/1990 - 3/1990,37.9
2/1990 - 4/1990,40.2
3/1990 - 5/1990,35.7
4/1990 - 6/1990,36
5/1990 - 7/1990,39
6/1990 - 8/1990,41.5
7/1990 - 9/1990,41.1
8/1990 - 10/1990,36.8
9/1990 - 11/1990,34.8
10/1990 - 12/1990,31.2
11/1990 - 1/1991,30.2
12/1990 - 2/1991,31.7
1/1991 - 3/1991,41.1
2/1991 - 4/1991,50.9
3/1991 - 5/1991,58.6
4/1991 - 6/1991,58.3
5/1991 - 7/1991,57.2
6/1991 - 8/1991,55.6
7/1991 - 9/1991,54.5
8/1991 - 10/1991,52.3
9/1991 - 11/1991,50.3
10/1991 - 12/1991,47.8
11/1991 - 1/1992,48.2
12/1991 - 2/1992,51.8
1/1992 - 3/1992,58.3
2/1992 - 4/1992,62.8
3/1992 - 5/1992,63.3
4/1992 - 6/1992,57.4
5/1992 - 7/1992,52.1
6/1992 - 8/1992,48.5
7/1992 - 9/1992,46.4
8/1992 - 10/1992,54
9/1992 - 11/1992,53.5
10/1992 - 12/1992,56.5
11/1992 - 1/1993,51.8
12/1992 - 2/1993,57.7
1/1993 - 3/1993,60.9
2/1993 - 4/1993,61.4
3/1993 - 5/1993,57
4/1993 - 6/1993,56.9
5/1993 - 7/1993,56.3
6/1993 - 8/1993,55.5
7/1993 - 9/1993,53.7
8/1993 - 10/1993,55.9
9/1993 - 11/1993,57.3
10/1993 - 12/1993,53.7
11/1993 - 1/1994,51.6
12/1993 - 2/1994,49.3
1/1994 - 3/1994,56.1
2/1994 - 4/1994,54.1
3/1994 - 5/1994,54.5
4/1994 - 6/1994,47.1
5/1994 - 7/1994,50.1
6/1994 - 8/1994,56.6
7/1994 - 9/1994,66.1
8/1994 - 10/1994,66.3
9/1994 - 11/1994,62.7
10/1994 - 12/1994,55.5
11/1994 - 1/1995,59.5
12/1994 - 2/1995,67.3
1/1995 - 3/1995,77.3
2/1995 - 4/1995,82.8
3/1995 - 5/1995,80.2
4/1995 - 6/1995,88.6
5/1995 - 7/1995,96.1
6/1995 - 8/1995,108.4
7/1995 - 9/1995,111
8/1995 - 10/1995,113.4
9/1995 - 11/1995,112.9
10/1995 - 12/1995,105.6
11/1995 - 1/1996,96.2
12/1995 - 2/1996,90.5
1/1996 - 3/1996,91.8
2/1996 - 4/1996,94.3
3/1996 - 5/1996,92.4
4/1996 - 6/1996@,92.8
5/1996 - 7/1996@,89.6
6/1996 - 8/1996@,87.4
7/1996 - 9/1996@,82.9
8/1996 - 10/1996@,81.6
9/1996 - 11/1996@,85
10/1996 - 12/1996@,82.3
11/1996 - 1/1997@,75.1
12/1996 - 2/1997@,69.2
1/1997 - 3/1997@,71.5
2/1997 - 4/1997@,73.6
3/1997 - 5/1997@,70.8
4/1997 - 6/1997,68.2
5/1997 - 7/1997,69.2
6/1997 - 8/1997,71.2
7/1997 - 9/1997,69.6
8/1997 - 10/1997,73.7
9/1997 - 11/1997,74.9
10/1997 - 12/1997,75.6
11/1997 - 1/1998,72.5
12/1997 - 2/1998,87.4
1/1998 - 3/1998,105.6
2/1998 - 4/1998,119.9
3/1998 - 5/1998,126.8
4/1998 - 6/1998,140.3
5/1998 - 7/1998,156.6
6/1998 - 8/1998,170.8
7/1998 - 9/1998,175.7
8/1998 - 10/1998,184.7
9/1998 - 11/1998,187.2
10/1998 - 12/1998,194.6
11/1998 - 1/1999,194.6
12/1998 - 2/1999,197.3
1/1999 - 3/1999,204.2
2/1999 - 4/1999,207.2
3/1999 - 5/1999,206.7
4/1999 - 6/1999,202.5
5/1999 - 7/1999,207.4
6/1999 - 8/1999,211.7
7/1999 - 9/1999,214.4
8/1999 - 10/1999,216.1
9/1999 - 11/1999,215.6
10/1999 - 12/1999,208.7
11/1999 - 1/2000,192.9
12/1999 - 2/2000,190
1/2000 - 3/2000,182.6
2/2000 - 4/2000,179.3
3/2000 - 5/2000,167.4
4/2000 - 6/2000,168.1
5/2000 - 7/2000,171
6/2000 - 8/2000,171.5
7/2000 - 9/2000,167.2
8/2000 - 10/2000,163.8
9/2000 - 11/2000,156.3
10/2000 - 12/2000,149.6
11/2000 - 1/2001,142.9
12/2000 - 2/2001,147.2
1/2001 - 3/2001,150.1
2/2001 - 4/2001,153.7
3/2001 - 5/2001,152.6
4/2001 - 6/2001,153.1
5/2001 - 7/2001,161.1
6/2001 - 8/2001,172.4
7/2001 - 9/2001,185.6
8/2001 - 10/2001,194.2
9/2001 - 11/2001,204.4
10/2001 - 12/2001,209.6
11/2001 - 1/2002,218.1
12/2001 - 2/2002,226.1
1/2002 - 3/2002,236.5
2/2002 - 4/2002,243.3
3/2002 - 5/2002,250.5
4/2002 - 6/2002,261.5
5/2002 - 7/2002,272.8
6/2002 - 8/2002,272.5
7/2002 - 9/2002,266.5
8/2002 - 10/2002,258.4
9/2002 - 11/2002,252.3
10/2002 - 12/2002,250.6
11/2002 - 1/2003,243.3
12/2002 - 2/2003,252.8
1/2003 - 3/2003,256.4
2/2003 - 4/2003,270.2
3/2003 - 5/2003,283.5
4/2003 - 6/2003,296.5
5/2003 - 7/2003,306.8
6/2003 - 8/2003,307.7
7/2003 - 9/2003,296.5
8/2003 - 10/2003,280.5
9/2003 - 11/2003,262.9
10/2003 - 12/2003,251.1
11/2003 - 1/2004,242.9
12/2003 - 2/2004,243.1
1/2004 - 3/2004,247.9
2/2004 - 4/2004,247.3
3/2004 - 5/2004,242.5
4/2004 - 6/2004,238.9
5/2004 - 7/2004,246.5
6/2004 - 8/2004,247.1
7/2004 - 9/2004,247.3
8/2004 - 10/2004,237.9
9/2004 - 11/2004,233.6
10/2004 - 12/2004,223.6
11/2004 - 1/2005,210.4
12/2004 - 2/2005,205.6
1/2005 - 3/2005,206.4
2/2005 - 4/2005,206
3/2005 - 5/2005,201.3
4/2005 - 6/2005,201.6
5/2005 - 7/2005,213.3
6/2005 - 8/2005,212.3
7/2005 - 9/2005,202.7
8/2005 - 10/2005,190.5
9/2005 - 11/2005,187
10/2005 - 12/2005,178.4
11/2005 - 1/2006,170.4
12/2005 - 2/2006,172.5
1/2006 - 3/2006,177.5
2/2006 - 4/2006,176.8
3/2006 - 5/2006,171.1
4/2006 - 6/2006,176.2
5/2006 - 7/2006,184.8
6/2006 - 8/2006,186.8
7/2006 - 9/2006,177.6
8/2006 - 10/2006,165.9
